code,description
X611,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, residential institution"
X6110,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, residential institution, while engaged in sports activity"
X6111,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, residential institution, while engaged in leisure activity"
X6112,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, residential institution, while working for income"
X6113,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, residential institution, while engaged in other types of work"
X6114,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, residential institution, while resting, sleeping, eating or engaging in other vital activities"
X6118,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, residential institution, while engaged in other specified activities"
X6119,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, residential institution, during unspecified activity"
X612,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, school, other institution and public administrative area"
X6120,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, school, other institution and public administrative area, while engaged in sports activity"
X6121,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, school, other institution and public administrative area, while engaged in leisure activity"
X6122,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, school, other institution and public administrative area, while working for income"
X6123,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, school, other institution and public administrative area, while engaged in other types of work"
X6124,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, school, other institution and public administrative area, while resting"
X6128,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, school, other institution and public administrative area, while engaged in other specified activities"
X6129,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, school, other institution and public administrative area, during unspecified activity"
X613,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, sports and athletics area"
X6130,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, sports and athletics area, while engaged in sports activity"
X6131,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, sports and athletics area, while engaged in leisure activity"
X6132,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, sports and athletics area, while working for income"
X6133,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, sports and athletics area, while engaged in other types of work"
X6134,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, sports and athletics area, while resting, sleeping, eating or engaging in other vital activities"
X6138,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, sports and athletics area, while engaged in other specified activities"
X6139,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, sports and athletics area, during unspecified activity"
X614,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, street and highway"
X6140,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, street and highway, while engaged in sports activity"
X6141,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, street and highway, while engaged in leisure activity"
X6142,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, street and highway, while working for income"
X6143,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, street and highway, while engaged in other types of work"
X6144,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, street and highway, while resting, sleeping, eating or engaging in other vital activities"
X6148,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, street and highway, while engaged in other specified activities"
X6149,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, street and highway, during unspecified activity"
X615,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, trade and service area"
X6150,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, trade and service area, while engaged in sports activity"
X6151,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, trade and service area, while engaged in leisure activity"
X6152,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, trade and service area, while working for income"
X6153,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, trade and service area, while engaged in other types of work"
X6154,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, trade and service area, while resting, sleeping, eating or engaging in other vital activities"
X6158,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, trade and service area, while engaged in other specified activities"
X6159,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, trade and service area, during unspecified activity"
X616,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area"
X6160,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, while engaged in sports activity"
X6161,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, while engaged in leisure activity"
X6162,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, while working for income"
X6163,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, while engaged in other types of work"
X6164,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, while resting, sleeping, eating or engaging in other vital activities"
X6168,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, while engaged in other specified activities"
X6169,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, industrial and construction area, during unspecified activity"
X617,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm"
X6170,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, while engaged in sports activity"
X6171,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, while engaged in leisure activity"
X6172,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, while working for income"
X6173,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, while engaged in other types of work"
X6174,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, while resting, sleeping, eating or engaging in other vital activities"
X6178,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, while engaged in other specified activities"
X6179,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, farm, during unspecified activity"
X618,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places"
X6180,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, while engaged in sports activity"
X6181,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, while engaged in leisure activity"
X6182,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, while working for income"
X6183,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, while engaged in other types of work"
X6184,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, while resting, sleeping, eating or engaging in other vital activities"
X6188,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, while engaged in other specified activities"
X6189,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, other specified places, during unspecified activity"
X619,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place"
X6190,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, while engaged in sports activity"
X6191,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, while engaged in leisure activity"
X6192,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, while working for income"
X6193,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, while engaged in other types of work"
X6194,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, while resting, sleeping, eating or engaging in other vital activities"
X6198,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, while engaged in other specified activities"
X6199,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, unspecified place, during unspecified activity"
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"
X620,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home"
X6200,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, while engaged in sports activity"
X6201,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, while engaged in leisure activity"
X6202,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, while working for income"
X6203,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, while engaged in other types of work"
X6204,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, while resting, sleeping, eating or engaging in other vital activities"
X6208,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, while engaged in other specified activities"
X6209,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, home, during unspecified activity"
X621,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution"
X6210,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, while engaged in sports activity"
X6211,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, while engaged in leisure activity"
X6212,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, while working for income"
X6213,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, while engaged in other types of work"
X6214,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, while resting, sleeping, eating or engaging in other vital activities"
X6218,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, while engaged in other specified activities"
X6219,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, residential institution, during unspecified activity"
X622,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, school, other institution and public administrative area"
X6220,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, school, other institution and public administrative area, while engaged in sports activity"
X6221,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, school, other institution and public administrative area, while engaged in leisure activity"
X6222,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, school, other institution and public administrative area, while working for income"
X6223,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, school, other institution and public administrative area, while engaged in other types of work"
X6224,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, school, other institution and public administrative area, while resting, sleeping, eating or engaging in other vital activities"
X6228,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, school, other institution and public administrative area, while engaged in other specified activities"
X6229,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, school, other institution and public administrative area, during unspecified activity"
X623,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, sports and athletics area"
X6230,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, sports and athletics area, while engaged in sports activity"
X6231,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, sports and athletics area, while engaged in leisure activity"
X6232,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, sports and athletics area, while working for income"
X6233,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, sports and athletics area, while engaged in other types of work"
X6234,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, sports and athletics area, while resting, sleeping, eating or engaging in other vital activities"
X6238,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, sports and athletics area, while engaged in other specified activities"
X6239,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, sports and athletics area, during unspecified activity"
X624,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, street and highway"
X6240,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, street and highway, while engaged in sports activity"
X6241,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, street and highway, while engaged in leisure activity"
X6242,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, street and highway, while working for income"
X6243,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, street and highway, while engaged in other types of work"
X6244,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, street and highway, while resting, sleeping, eating or engaging in other vital activities"
X6248,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, street and highway, while engaged in other specified activities"
X6249,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, street and highway, during unspecified activity"
X625,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, trade and service area"
X6250,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, trade and service area, while engaged in sports activity"
X6251,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, trade and service area, while engaged in leisure activity"
X6252,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, trade and service area, while working for income"
X6253,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, trade and service area, while engaged in other types of work"
X6254,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, trade and service area, while resting, sleeping, eating or engaging in other vital activities"
X6258,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, trade and service area, while engaged in other specified activities"
X6259,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, trade and service area, during unspecified activity"
X626,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, industrial and construction area"
X6260,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, industrial and construction area, while engaged in sports activity"
X6261,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, industrial and construction area, while engaged in leisure activity"
X6262,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, industrial and construction area, while working for income"
X6263,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, industrial and construction area, while engaged in other types of work"
X6264,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, industrial and construction area, while resting, sleeping, eating or engaging in other vital activities"
X6268,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, industrial and construction area, while engaged in other specified activities"
X6269,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, industrial and construction area, during unspecified activity"
X627,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, farm"
X6270,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, farm, while engaged in sports activity"
X6271,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, farm, while engaged in leisure activity"
X6272,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, farm, while working for income"
X6273,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, farm, while engaged in other types of work"
X6274,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, farm, while resting, sleeping, eating or engaging in other vital activities"
X6278,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, farm, while engaged in other specified activities"
X6279,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, farm, during unspecified activity"
X628,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, other specified places"
X6280,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, other specified places, while engaged in sports activity"
X6281,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, other specified places, while engaged in leisure activity"
X6282,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, other specified places, while working for income"
X6283,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, other specified places, while engaged in other types of work"
X6284,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, other specified places, while resting, sleeping, eating or engaging in other vital activities"
X6288,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, other specified places, while engaged in other specified activities"
X6289,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, other specified places, during unspecified activity"
X629,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, unspecified place"
X6290,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, unspecified place, while engaged in sports activity"
X6291,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, unspecified place, while engaged in leisure activity"
X6292,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, unspecified place, while working for income"
X6293,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, unspecified place, while engaged in other types of work"
X6294,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, unspecified place, while resting, sleeping, eating or engaging in other vital activities"
X6298,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, unspecified place, while engaged in other specified activities"
X6299,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, unspecified place, during unspecified activity"
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system
X630,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, home"
X6300,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, home, while engaged in sports activity"
X6301,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, home, while engaged in leisure activity"
X6302,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, home, while working for income"
X6303,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, home, while engaged in other types of work"
X6304,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, home, while resting, sleeping, eating or engaging in other vital activities"
X6308,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, home, while engaged in other specified activities"
X6309,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, home, during unspecified activity"
X631,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, residential institution"
X6310,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, residential institution, while engaged in sports activity"
X6311,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, residential institution, while engaged in leisure activity"
X6312,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, residential institution, while working for income"
X6313,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, residential institution, while engaged in other types of work"
X6314,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, residential institution, while resting, sleeping, eating or engaging in other vital activities"
X6318,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, residential institution, while engaged in other specified activities"
X6319,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, residential institution, during unspecified activity"
X632,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, school, other institution and public administrative area"
X6320,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, school, other institution and public administrative area, while engaged in sports activity"
X6321,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, school, other institution and public administrative area, while engaged in leisure activity"
X6322,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, school, other institution and public administrative area, while working for income"
X6323,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, school, other institution and public administrative area, while engaged in other types of work"
X6324,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, school, other institution and public administrative area, while resting, sleeping, eating or engaging in other vital activities"
X6328,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, school, other institution and public administrative area, while engaged in other specified activities"
X6329,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, school, other institution and public administrative area, during unspecified activity"
X633,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, sports and athletics area"
X6330,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, sports and athletics area, while engaged in sports activity"
X6331,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, sports and athletics area, while engaged in leisure activity"
X6332,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, sports and athletics area, while working for income"
X6333,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, sports and athletics area, while engaged in other types of work"
X6334,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, sports and athletics area, while resting, sleeping, eating or engaging in other vital activities"
X6338,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, sports and athletics area, while engaged in other specified activities"
X6339,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, sports and athletics area, during unspecified activity"
X634,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, street and highway"
X6340,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, street and highway, while engaged in sports activity"
X6341,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, street and highway, while engaged in leisure activity"
X6342,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, street and highway, while working for income"
X6343,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, street and highway, while engaged in other types of work"
X6344,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, street and highway, while resting, sleeping, eating or engaging in other vital activities"
X6348,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, street and highway, while engaged in other specified activities"
X6349,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, street and highway, during unspecified activity"
X635,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, trade and service area"
X6350,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, trade and service area, while engaged in sports activity"
X6351,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, trade and service area, while engaged in leisure activity"
X6352,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, trade and service area, while working for income"
X6353,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, trade and service area, while engaged in other types of work"
X6354,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, trade and service area, while resting, sleeping, eating or engaging in other vital activities"
X6358,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, trade and service area, while engaged in other specified activities"
X6359,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, trade and service area, during unspecified activity"
X636,"Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, industrial and construction area"
